y x z
2.839635443548477e-06 0.3074999999880053 0
3.529845347899888e-06 0.3074999999820742 0
1.732056189680593e-06 0.3074999999947421 0
2.422266885545134e-06 0.3074999999908932 0
3.112478303136773e-06 0.3074999999856552 0
1.314690637885732e-06 0.3074999999964599 0
2.004902864312963e-06 0.3074999999933897 0
2.695114747740168e-06 0.3074999999890608 0
3.385326776533569e-06 0.3074999999834229 0
1.587538838199797e-06 0.3074999999954253 0
2.277750291451251e-06 0.3074999999918977 0
2.967961676135214e-06 0.3074999999870435 0
3.658172326608192e-06 0.3074999999808868 0
1.860382893030293e-06 0.3074999999942868 0
2.550593273152419e-06 0.3074999999901052 0
3.240804089995531e-06 0.3074999999847078 0
1.443014669077236e-06 0.3074999999960571 0
2.133225954481706e-06 0.3074999999926751 0
2.823437998654053e-06 0.3074999999880059 0
3.513651184563962e-06 0.3074999999820464 0
1.715865523380488e-06 0.3074999999946981 0
2.406079484206795e-06 0.3074999999909137 0
3.096292583232238e-06 0.3074999999858037 0
1.298506271218532e-06 0.3074999999964422 0
1.98872095011587e-06 0.3074999999933732 0
2.678936026914436e-06 0.3074999999889744 0
3.369151675476166e-06 0.3074999999833707 0
1.571367185587008e-06 0.3074999999954022 0
2.261582503458391e-06 0.3074999999917835 0
2.951798074135742e-06 0.3074999999868905 0
3.64201406349309e-06 0.3074999999807694 0
1.844229747026685e-06 0.3074999999940895 0
2.534445998184133e-06 0.3074999999900179 0
3.224663440537893e-06 0.3074999999846972 0
1.42688120730034e-06 0.307499999995862 0
2.117100000103603e-06 0.3074999999925939 0
2.807318685131258e-06 0.3074999999879552 0
3.497538132346881e-06 0.3074999999820349 0
1.699759119445656e-06 0.3074999999945767 0
2.389981293185713e-06 0.3074999999906646 0
3.08020409588529e-06 0.3074999999855639 0
1.28242632965797e-06 0.3074999999961691 0
1.97264822516988e-06 0.3074999999931521 0
2.662869747050326e-06 0.3074999999888344 0
3.353092460504771e-06 0.3074999999832047 0
1.555316257935575e-06 0.3074999999950329 0
2.245540870550169e-06 0.3074999999914331 0
2.93576640110246e-06 0.3074999999865704 0
3.62599166706407e-06 0.3074999999804849 0
1.828217527789394e-06 0.307499999993681 0
2.518443953383397e-06 0.3074999999896098 0
3.208670917846706e-06 0.3074999999842832 0
1.410898120656704e-06 0.3074999999955282 0
2.101125774969942e-06 0.3074999999921856 0
2.791353846349223e-06 0.307499999987602 0
3.481582701574367e-06 0.3074999999817635 0
1.683813043908971e-06 0.3074999999942351 0
2.374043845482827e-06 0.3074999999904292 0
3.064275286079313e-06 0.3074999999853871 0
1.266506312649646e-06 0.307499999995926 0
1.956736757675118e-06 0.3074999999929491 0
2.646967515605551e-06 0.3074999999886086 0
3.337198548703746e-06 0.3074999999830151 0
1.539429817300621e-06 0.3074999999948139 0
2.229662174087771e-06 0.3074999999912793 0
2.91989496797198e-06 0.3074999999864743 0
3.610127837744755e-06 0.3074999999803431 0
1.812361694713473e-06 0.3074999999934892 0
2.502596841776193e-06 0.3074999999894138 0
3.192832914353164e-06 0.3074999999840514 0
1.395069071314032e-06 0.3074999999951897 0
2.085306214333213e-06 0.3074999999918797 0
2.775544243888796e-06 0.3074999999872954 0
3.465782457779607e-06 0.3074999999814789 0
1.668021634124499e-06 0.3074999999938486 0
2.35826153178794e-06 0.3074999999900412 0
3.048501641567317e-06 0.3074999999850795 0
1.250742110836184e-06 0.3074999999954717 0
1.940982989902593e-06 0.3074999999925151 0
2.631223391538447e-06 0.3074999999882689 0
3.321463683461103e-06 0.3074999999826979 0
1.523704199116809e-06 0.3074999999944715 0
2.213945175867295e-06 0.3074999999909619 0
2.904187194060926e-06 0.3074999999860896 0
3.594430331658752e-06 0.3074999999799892 0
1.796674526887493e-06 0.3074999999930337 0
2.486918526110052e-06 0.3074999999890136 0
3.17716319459713e-06 0.3074999999837162 0
1.379407646698565e-06 0.3074999999947532 0
2.069652298790284e-06 0.3074999999915746 0
2.759897121276951e-06 0.3074999999870471 0
3.450142249969899e-06 0.3074999999812053 0
1.652388137262279e-06 0.3074999999935011 0
2.342635351596197e-06 0.3074999999897475 0
3.032882785021263e-06 0.3074999999847891 0
3.723130186800624e-06 0.307499999978423 0
1.925377666908306e-06 0.3074999999921686 0
2.615624887777604e-06 0.3074999999878769 0
3.305872751034354e-06 0.307499999982296 0
1.508121623428133e-06 0.3074999999939111 0
2.198370593921463e-06 0.3074999999904228 0
2.88862039801928e-06 0.3074999999857402 0
3.578869663380414e-06 0.3074999999796946 0
1.781120032025609e-06 0.3074999999926541 0
