kin pot x y z vx vy vz
2.33782e-05 -3.67224e-05 -0.889305 6.21993 0 0.989933 0.141537 0
2.33782e-05 -3.67224e-05 -0.893213 6.21937 0 0.989844 0.142159 0
2.33782e-05 -3.67224e-05 -0.897121 6.21881 0 0.989754 0.142781 0
2.33782e-05 -3.67224e-05 -0.901029 6.21824 0 0.989664 0.143403 0
2.33782e-05 -3.67224e-05 -0.904936 6.21768 0 0.989574 0.144025 0
2.33782e-05 -3.67224e-05 -0.908843 6.21711 0 0.989483 0.144647 0
2.33782e-05 -3.67224e-05 -0.91275 6.21653 0 0.989392 0.145269 0
2.33782e-05 -3.67224e-05 -0.916656 6.21596 0 0.989301 0.14589 0
2.33782e-05 -3.67224e-05 -0.920562 6.21538 0 0.989209 0.146512 0
2.33782e-05 -3.67224e-05 -0.924467 6.2148 0 0.989117 0.147134 0
2.33782e-05 -3.67224e-05 -0.928372 6.21422 0 0.989024 0.147755 0
2.33782e-05 -3.67224e-05 -0.932277 6.21364 0 0.988931 0.148376 0
2.33782e-05 -3.67224e-05 -0.936181 6.21305 0 0.988838 0.148998 0
2.33782e-05 -3.67224e-05 -0.940085 6.21246 0 0.988744 0.149619 0
2.33782e-05 -3.67224e-05 -0.943989 6.21187 0 0.988649 0.150241 0
2.33782e-05 -3.67224e-05 -0.947892 6.21127 0 0.988555 0.150862 0
2.33782e-05 -3.67224e-05 -0.951795 6.21068 0 0.98846 0.151483 0
2.33782e-05 -3.67224e-05 -0.955697 6.21008 0 0.988364 0.152104 0
2.33782e-05 -3.67224e-05 -0.9596 6.20948 0 0.988269 0.152725 0
2.33782e-05 -3.67224e-05 -0.963501 6.20887 0 0.988173 0.153346 0
2.33782e-05 -3.67224e-05 -0.967403 6.20826 0 0.988076 0.153967 0
2.33782e-05 -3.67224e-05 -0.971304 6.20766 0 0.987979 0.154588 0
2.33782e-05 -3.67224e-05 -0.975204 6.20704 0 0.987882 0.155209 0
2.33782e-05 -3.67224e-05 -0.979104 6.20643 0 0.987784 0.155829 0
2.33782e-05 -3.67224e-05 -0.983004 6.20581 0 0.987686 0.15645 0
2.33782e-05 -3.67224e-05 -0.986904 6.20519 0 0.987587 0.157071 0
2.33782e-05 -3.67224e-05 -0.990803 6.20457 0 0.987488 0.157691 0
2.33782e-05 -3.67224e-05 -0.994701 6.20395 0 0.987389 0.158312 0
2.33782e-05 -3.67224e-05 -0.9986 6.20332 0 0.98729 0.158932 0
2.33782e-05 -3.67224e-05 -1.0025 6.20269 0 0.987189 0.159552 0
2.33782e-05 -3.67224e-05 -1.00639 6.20206 0 0.987089 0.160173 0
2.33782e-05 -3.67224e-05 -1.01029 6.20143 0 0.986988 0.160793 0
2.33782e-05 -3.67224e-05 -1.01419 6.20079 0 0.986887 0.161413 0
2.33782e-05 -3.67224e-05 -1.01808 6.20015 0 0.986785 0.162033 0
2.33782e-05 -3.67224e-05 -1.02198 6.19951 0 0.986683 0.162653 0
2.33782e-05 -3.67224e-05 -1.02588 6.19887 0 0.986581 0.163273 0
2.33782e-05 -3.67224e-05 -1.02977 6.19822 0 0.986478 0.163893 0
2.33782e-05 -3.67224e-05 -1.03367 6.19758 0 0.986375 0.164513 0
2.33782e-05 -3.67224e-05 -1.03756 6.19693 0 0.986271 0.165133 0
2.33782e-05 -3.67224e-05 -1.04145 6.19627 0 0.986167 0.165753 0
2.33782e-05 -3.67224e-05 -1.04535 6.19562 0 0.986063 0.166372 0
2.33782e-05 -3.67224e-05 -1.04924 6.19496 0 0.985958 0.166992 0
2.33782e-05 -3.67224e-05 -1.05313 6.1943 0 0.985853 0.167611 0
2.33782e-05 -3.67224e-05 -1.05703 6.19364 0 0.985748 0.168231 0
2.33782e-05 -3.67224e-05 -1.06092 6.19297 0 0.985642 0.16885 0
2.33782e-05 -3.67224e-05 -1.06481 6.1923 0 0.985535 0.16947 0
2.33782e-05 -3.67224e-05 -1.0687 6.19163 0 0.985429 0.170089 0
2.33782e-05 -3.67224e-05 -1.07259 6.19096 0 0.985322 0.170708 0
2.33782e-05 -3.67224e-05 -1.07648 6.19028 0 0.985214 0.171327 0
2.33782e-05 -3.67224e-05 -1.08037 6.18961 0 0.985106 0.171946 0
2.33782e-05 -3.67224e-05 -1.08426 6.18893 0 0.984998 0.172565 0
2.33782e-05 -3.67224e-05 -1.08815 6.18824 0 0.984889 0.173184 0
2.33782e-05 -3.67224e-05 -1.09204 6.18756 0 0.98478 0.173803 0
2.33782e-05 -3.67224e-05 -1.09592 6.18687 0 0.984671 0.174422 0
2.33782e-05 -3.67224e-05 -1.09981 6.18618 0 0.984561 0.17504 0
2.33782e-05 -3.67224e-05 -1.1037 6.18549 0 0.984451 0.175659 0
2.33782e-05 -3.67224e-05 -1.10758 6.18479 0 0.98434 0.176278 0
2.33782e-05 -3.67224e-05 -1.11147 6.1841 0 0.98423 0.176896 0
2.33782e-05 -3.67224e-05 -1.11536 6.1834 0 0.984118 0.177515 0
2.33782e-05 -3.67224e-05 -1.11924 6.18269 0 0.984006 0.178133 0
2.33782e-05 -3.67224e-05 -1.12313 6.18199 0 0.983894 0.178751 0
2.33782e-05 -3.67224e-05 -1.12701 6.18128 0 0.983782 0.179369 0
2.33782e-05 -3.67224e-05 -1.1309 6.18057 0 0.983669 0.179988 0
2.33782e-05 -3.67224e-05 -1.13478 6.17986 0 0.983556 0.180606 0
2.33782e-05 -3.67224e-05 -1.13866 6.17915 0 0.983442 0.181224 0
2.33782e-05 -3.67224e-05 -1.14254 6.17843 0 0.983328 0.181842 0
2.33782e-05 -3.67224e-05 -1.14643 6.17771 0 0.983213 0.18246 0
2.33782e-05 -3.67224e-05 -1.15031 6.17699 0 0.983099 0.183077 0
2.33782e-05 -3.67224e-05 -1.15419 6.17627 0 0.982983 0.183695 0
2.33782e-05 -3.67224e-05 -1.15807 6.17554 0 0.982868 0.184313 0
2.33782e-05 -3.67224e-05 -1.16195 6.17481 0 0.982752 0.18493 0
2.33782e-05 -3.67224e-05 -1.16583 6.17408 0 0.982635 0.185548 0
2.33782e-05 -3.67224e-05 -1.16971 6.17335 0 0.982518 0.186165 0
2.33782e-05 -3.67224e-05 -1.17359 6.17261 0 0.982401 0.186783 0
2.33782e-05 -3.67224e-05 -1.17747 6.17187 0 0.982284 0.1874 0
2.33782e-05 -3.67224e-05 -1.18135 6.17113 0 0.982166 0.188017 0
2.33782e-05 -3.67224e-05 -1.18522 6.17039 0 0.982047 0.188634 0
2.33782e-05 -3.67224e-05 -1.1891 6.16964 0 0.981929 0.189251 0
2.33782e-05 -3.67224e-05 -1.19298 6.16889 0 0.98181 0.189868 0
2.33782e-05 -3.67224e-05 -1.19685 6.16814 0 0.98169 0.190485 0
2.33782e-05 -3.67224e-05 -1.20073 6.16739 0 0.98157 0.191102 0
2.33782e-05 -3.67224e-05 -1.2046 6.16663 0 0.98145 0.191719 0
2.33782e-05 -3.67224e-05 -1.20848 6.16587 0 0.981329 0.192335 0
2.33782e-05 -3.67224e-05 -1.21235 6.16511 0 0.981208 0.192952 0
2.33782e-05 -3.67224e-05 -1.21623 6.16435 0 0.981087 0.193569 0
2.33782e-05 -3.67224e-05 -1.2201 6.16358 0 0.980965 0.194185 0
2.33782e-05 -3.67224e-05 -1.22397 6.16282 0 0.980843 0.194801 0
2.33782e-05 -3.67224e-05 -1.22785 6.16205 0 0.98072 0.195418 0
2.33782e-05 -3.67224e-05 -1.23172 6.16127 0 0.980597 0.196034 0
2.33782e-05 -3.67224e-05 -1.23559 6.1605 0 0.980474 0.19665 0
2.33782e-05 -3.67224e-05 -1.23946 6.15972 0 0.98035 0.197266 0
2.33782e-05 -3.67224e-05 -1.24333 6.15894 0 0.980226 0.197882 0
2.33782e-05 -3.67224e-05 -1.2472 6.15816 0 0.980101 0.198498 0
2.33782e-05 -3.67224e-05 -1.25107 6.15737 0 0.979976 0.199114 0
2.33782e-05 -3.67224e-05 -1.25494 6.15659 0 0.979851 0.19973 0
2.33782e-05 -3.67224e-05 -1.25881 6.1558 0 0.979725 0.200345 0
2.33782e-05 -3.67224e-05 -1.26267 6.155 0 0.979599 0.200961 0
2.33782e-05 -3.67224e-05 -1.26654 6.15421 0 0.979473 0.201577 0
2.33782e-05 -3.67224e-05 -1.27041 6.15341 0 0.979346 0.202192 0
2.33782e-05 -3.67224e-05 -1.27428 6.15261 0 0.979219 0.202807 0
2.33782e-05 -3.67224e-05 -1.27814 6.15181 0 0.979091 0.203423 0
2.33782e-05 -3.67224e-05 -1.28201 6.15101 0 0.978963 0.204038 0
