kin pot x y z vx vy vz
2.33795e-05 -3.67217e-05 -0.550067 6.25923 0 0.99616 0.0878624 0
2.33795e-05 -3.67217e-05 -0.553999 6.25889 0 0.996105 0.0884883 0
2.33795e-05 -3.67217e-05 -0.557932 6.25854 0 0.996049 0.0891143 0
2.33795e-05 -3.67217e-05 -0.561865 6.25819 0 0.995993 0.0897402 0
2.33795e-05 -3.67217e-05 -0.565797 6.25784 0 0.995937 0.090366 0
2.33795e-05 -3.67217e-05 -0.569729 6.25748 0 0.99588 0.0909919 0
2.33795e-05 -3.67217e-05 -0.57366 6.25712 0 0.995823 0.0916177 0
2.33795e-05 -3.67217e-05 -0.577592 6.25676 0 0.995766 0.0922434 0
2.33795e-05 -3.67217e-05 -0.581523 6.2564 0 0.995708 0.0928691 0
2.33795e-05 -3.67217e-05 -0.585454 6.25603 0 0.995649 0.0934948 0
2.33796e-05 -3.67217e-05 -0.589385 6.25567 0 0.99559 0.0941205 0
2.33796e-05 -3.67217e-05 -0.593316 6.2553 0 0.995531 0.0947461 0
2.33796e-05 -3.67217e-05 -0.597246 6.25492 0 0.995472 0.0953716 0
2.33796e-05 -3.67217e-05 -0.601176 6.25455 0 0.995412 0.0959972 0
2.33796e-05 -3.67217e-05 -0.605106 6.25417 0 0.995352 0.0966227 0
2.33796e-05 -3.67216e-05 -0.609036 6.25379 0 0.995291 0.0972481 0
2.33796e-05 -3.67216e-05 -0.612965 6.25341 0 0.99523 0.0978736 0
2.33796e-05 -3.67216e-05 -0.616894 6.25302 0 0.995168 0.0984989 0
2.33796e-05 -3.67216e-05 -0.620823 6.25263 0 0.995106 0.0991243 0
2.33796e-05 -3.67216e-05 -0.624752 6.25224 0 0.995044 0.0997496 0
2.33796e-05 -3.67216e-05 -0.62868 6.25185 0 0.994981 0.100375 0
2.33797e-05 -3.67216e-05 -0.632608 6.25146 0 0.994918 0.101 0
2.33797e-05 -3.67216e-05 -0.636536 6.25106 0 0.994855 0.101625 0
2.33797e-05 -3.67216e-05 -0.640464 6.25066 0 0.994791 0.10225 0
2.33797e-05 -3.67216e-05 -0.644392 6.25026 0 0.994727 0.102876 0
2.33797e-05 -3.67216e-05 -0.648319 6.24985 0 0.994662 0.103501 0
2.33797e-05 -3.67216e-05 -0.652246 6.24944 0 0.994597 0.104126 0
2.33797e-05 -3.67216e-05 -0.656172 6.24903 0 0.994532 0.104751 0
